"","accession","pval_bon: wt VS ko","pval_bon: wt-cyto-no glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-mem-no glu","pval_bon: wt-mem-no glu VS Δ-mem-no glu","pval_bon: Δ-mem-no glu VS Δ-mem-glu","pval_BY: wt VS ko","pval_BY: wt-cyto-no glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-mem-no glu","pval_BY: wt-mem-no glu VS Δ-mem-no glu","pval_BY: Δ-mem-no glu VS Δ-mem-glu","pval_BH: wt VS ko","pval_BH: wt-cyto-no glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-mem-no glu","pval_BH: wt-mem-no glu VS Δ-mem-no glu","pval_BH: Δ-mem-no glu VS Δ-mem-glu","AoverB: wt VS ko","AoverB: wt-cyto-no glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-mem-no glu","AoverB: wt-mem-no glu VS Δ-mem-no glu","AoverB: Δ-mem-no glu VS Δ-mem-glu"
"619","Q61171",1,1,0,0,1,0.0339125346934247,1,1,0,0,1,0.00199088582312699,0.231379495818106,1,0,0,1,0.000256913141616854,1.16920242796936,0.833507549361211,NA,NA,0.699601275917065,0.815207675347118
"620","Q61210",1,1,1,1,0,1,1,1,1,1,0,1,0.249313473752668,1,1,1,0,1,1.1660055996267,NA,NA,NA,1.12672957305462,1.04700513911041
"621","Q61249",1,1,1,0,1,1,1,1,1,0,1,0.780771653516047,0.211541744687318,1,1,0,1,0.100754395887523,1.37335594834256,1.07230475251187,NA,NA,0.802632916539595,0.59411142986562
"622","Q61301",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0.959636435853368,1.14976488584216,NA,NA,NA,0.403719768664564,1.17953488372093
"623","Q61316",1,0,0,1,0,0.177900902691874,1,0,0,1,0,0.0100627716786455,0.248126938846205,0,0,1,0,0.00129854673497718,1.2190957649752,0.569895084515249,NA,NA,2.97692505082806,0.659751523675574
"624","Q61335",1,0,0,0,1,1,1,0,0,0,0.170451776347583,1,0.478329546998913,0,0,0,0.021995887884143,0.541090794241223,0.75060860156884,NA,NA,NA,1.94314975902198,0.762310139343159
"625","Q61361",1,1,1,1,1,1,1,1,1,1,1,1,0.36849753445362,1,1,1,1,1,1.303671071953,NA,NA,NA,NA,NA
"626","Q61414",1,1,0,1,1,0,1,0.924563896328961,0,1,1,0,0.227910953848671,0.119310013900401,0,1,1,0,1.36933101549247,2.65565409032223,NA,NA,NA,NA
"627","Q61425",1,1,0,1,1,1,1,1,0,1,1,1,0.939619843302207,1,0,1,1,1,1.0625630538514,0.605429651956322,NA,NA,NA,NA
"628","Q61543",1,1,1,0,0,0,1,1,1,0,0,0,0.876463544240869,1,1,0,0,0,0.923769993925896,NA,NA,NA,1.59261706168965,0.68575150073621
"629","Q61545",1,1,0,1,1,0,1,1,0,1,1,0,0.939619843302207,1,0,1,1,0,0.890333660451423,1.52973561618973,NA,NA,2.26384459263555,0.451144538914323
"630","Q61548",1,1,1,1,1,0,1,1,1,1,1,0,0.406906640594863,1,1,1,1,0,1.08903860160233,NA,NA,NA,0.59416958993589,0.944152581087254
"631","Q61553",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1.65180920091192,NA,NA,NA,NA,NA
"632","Q61598",1,1,0,0,1,1,1,1,0,0,1,1,0.480232823466036,1,0,0,0.407030754610103,0.580499128355175,0.758289926956857,1.01150211545685,NA,NA,2.38313555763179,0.896365383424001
"633","Q61644",1,1,1,1,0,1,1,1,1,1,0,1,0.987511142912559,1,1,1,0,1,1.00959252179589,NA,NA,NA,0.805558713197681,1.00079635949943
"634","Q61656",1,0,0,1,1,1,1,0,0,1,1,1,0.378625434471411,0,0,1,1,1,2.40862655639646,NA,NA,NA,NA,NA
"635","Q61696",1,1,0,0,0.0176567441795587,1,1,1,0,0,0.00063640297186307,1,0.463423871124149,0.251530916019445,0,0,8.21243915328311e-05,0.705897049587275,0.719862780772298,1.34295842544384,0.686691141092993,0.569645249807753,1.99421560743505,1.18442747805697
"636","Q61699",1,1,1,1,0,1,1,1,1,1,0,1,0.475082711483864,1,1,1,0,1,1.15764484865592,NA,NA,NA,2.25309759153557,1.03181785534727
"637","Q61753",1,0,0,0,1,1,1,0,0,0,1,1,0.579003966148489,0,0,0,1,0.769657992829227,0.764857881136949,NA,NA,NA,1.07494184114324,0.839037992331823
